GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
COL201104050,62,9,9,1,0,3,0,0,0,0,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201104190,73,9,9,0,0,3,6,0,0,0,wilsb001,Brian Wilson,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201104290,64,9,9,0,0,0,3,0,0,0,hanrj001,Joel Hanrahan,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201104300,65,9,9,1,0,4,1,0,0,0,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201105090,67,9,9,1,0,2,1,0,0,0,streh001,Huston Street,True,1.0,090101.0,95.2,1.050420168067227,2011
COL201105140,83,9,9,0,0,7,9,0,0,0,bellh001,Heath Bell,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201105260,68,8,9,0,1,3,4,0,0,0,hernd002,David Hernandez,True,1.67,081101.67,72.2,1.3850415512465373,2011
COL201106130,73,9,9,0,0,1,3,0,0,0,bellh001,Heath Bell,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201106290,71,9,9,0,0,2,3,0,0,0,sants001,Sergio Santos,True,1.0,090101.0,95.2,1.050420168067227,2011
COL201107160,80,9,9,0,0,6,8,0,0,0,axfoj001,John Axford,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201107180,81,9,9,0,0,4,7,0,0,0,kimbc001,Craig Kimbrel,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201108010,81,10,10,0,0,3,4,0,0,0,madsr001,Ryan Madson,True,1.0,100101.0,96.6,1.0351966873706004,2011
COL201108030,82,9,9,0,0,6,8,0,0,0,lidgb001,Brad Lidge,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201108050,74,8,9,0,2,3,4,1,0,0,stord001,Drew Storen,True,1.33,082111.33,88.6,1.1286681715575622,2011
